Wall time,Step,Value
1609435460.0625834,4668,0.09869351238012314
1609435494.16508,4676,0.09868904948234558
1609435943.530315,4788,0.0986257940530777
1609435997.8780046,4802,0.09861777722835541
1609436149.5689886,4840,0.09859591722488403
1609436363.2143905,4894,0.09856456518173218
1609436678.0184941,4971,0.09851926565170288
1609437260.7405188,5106,0.09843818098306656
1609437380.3069572,5134,0.09842108935117722
1609438247.640862,5345,0.09828940033912659
1609438301.8912776,5359,0.09828048199415207
1609438547.8564062,5420,0.09824134409427643
1609439097.1603596,5549,0.09815715998411179
1609439669.1317885,5679,0.09807036817073822
1609439853.3419087,5723,0.09804055094718933
1609440199.7188861,5808,0.09798230975866318
1609440427.8857121,5864,0.09794348478317261
1609440455.0943675,5871,0.09793860465288162
1609440601.4065764,5907,0.09791342169046402
1609440951.8961518,5990,0.09785480052232742
1609441858.8450568,6200,0.09770293533802032
1609441933.534536,6219,0.0976889431476593
1609442217.1737916,6289,0.09763704240322113
1609442564.320474,6376,0.09757174551486969
1609444161.9316518,6520,0.0974617749452591
1609444386.8702598,6574,0.09741992503404617
1609444503.0165606,6603,0.09739731252193451
1609444890.4707868,6699,0.0973217710852623
1609444942.521071,6711,0.09731224924325943
1609445557.346809,6854,0.09719758480787277
1609446035.7712798,6966,0.09710614383220673
1609446627.4263291,7114,0.09698314219713211
1609446795.2758505,7155,0.09694862365722656
1609447446.1784933,7311,0.0968155637383461
1609447749.838559,7382,0.09675408899784088
1609448084.0948176,7460,0.09668590873479843
1609448096.0489094,7463,0.09668327122926712
1609448158.6093407,7478,0.09667007625102997
1609448295.3259995,7511,0.09664095193147659
1609449434.2449834,7788,0.0963917076587677
1609449475.995216,7798,0.09638254344463348
1609449623.642809,7833,0.09635040163993835
1609450308.9252305,7991,0.09620359539985657
1609450614.6864896,8066,0.09613293409347534
1609451083.647074,8180,0.09602433443069458
1609451256.7355113,8221,0.09598492830991745
1609451895.5176723,8363,0.0958469957113266
1609451920.2588072,8368,0.09584210067987442
1609451958.8731813,8377,0.09583327174186707
1609452472.51715,8498,0.0957137942314148
1609452512.364598,8508,0.0957038477063179
1609452894.2826664,8601,0.09561081975698471
1609453033.6503563,8635,0.09557657688856125
1609454087.6317084,8878,0.09532811492681503
1609454213.8222687,8907,0.09529802948236465
1609454300.982153,8928,0.09527619183063507
1609454328.7461867,8935,0.09526889771223068
1609454568.8866687,8993,0.09520827978849411
1609455666.5525007,9260,0.09492450952529907
1609455904.2838366,9316,0.09486401081085205
1609456041.4372523,9348,0.09482929110527039
1609456412.595372,9435,0.09473433345556259
1609456547.4732976,9468,0.09469810128211975
1609456885.1965992,9554,0.09460312128067017
1609456939.4981122,9567,0.09458869695663452
1609457304.5010722,9657,0.09448833018541336
1609457399.1244032,9680,0.09446254372596741
1609457471.1018243,9698,0.09444231539964676
1609458085.6583629,9843,0.09427814930677414
1609458359.7802842,9907,0.09420497715473175
1609459075.163546,10084,0.09400033950805664
1609459863.1557417,10276,0.09377460181713104
1609459894.2416213,10283,0.09376630187034607
1609460395.1153426,10399,0.0936279445886612
1609460720.1229746,10479,0.09353170543909073
1609460893.1647778,10522,0.0934797003865242
1609461233.7960963,10607,0.09337633103132248
1609461354.133231,10638,0.09333843737840652
1609461415.8338234,10654,0.09331884980201721
1609461655.1986494,10711,0.09324882179498672
1609461850.7508955,10757,0.09319207072257996
1609461855.4741144,10758,0.09319083392620087
1609461947.7691853,10780,0.09316360950469971
1609462209.9388754,10841,0.09308785945177078
1609462247.0907748,10850,0.09307664632797241
1609462468.2852526,10902,0.09301172196865082
1609462479.351111,10905,0.09300796687602997
1609462634.940876,10943,0.09296033531427383
1609462727.8456228,10966,0.09293142706155777
1609462760.521192,10974,0.09292136132717133
1609462946.8493462,11020,0.09286335110664368
1609463275.566993,11102,0.0927593931555748
1609463351.542639,11121,0.09273520857095718
1609463675.4523368,11198,0.09263681620359421
1609464627.1322935,11419,0.092351034283638
1609464841.330817,11472,0.0922817513346672
1609464920.6095755,11492,0.09225553274154663
1609465046.2994971,11523,0.09221481531858444
1609465084.1862597,11532,0.09220297634601593
1609465217.185168,11566,0.09215817600488663
1609465544.904218,11648,0.09204964339733124
1609465695.4885237,11685,0.09200044721364975
1609466019.0458853,11759,0.09190164506435394
1609466503.424586,11873,0.09174834936857224
1609466876.8029883,11969,0.09161824733018875
1609466895.4488394,11974,0.09161144495010376
1609467033.7001164,12010,0.09156239777803421
